Gene,Provenance_tier,Status_for_selection,In_core_panel,In_missing_half,In_curated_pool,Functional_axis,Category,Objective_tags,Priority_hint,Why_relevant,Expression_note,References
Cacna1e,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Cacna1g,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"A,C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [T-type; CT-enriched],"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Cacna1h,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Cacna1i,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Cacnb1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Cadm3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cadm4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Calb1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Calb2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Car2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Neurotrophin / metabolic / other,,,,,,
Car3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Neurotrophin / metabolic / other,,,,,,
Car4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Neurotrophin / metabolic / other,,,,,,
Cartpt,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cbln1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Synaptic organizer,,,,,,
Cbln2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal. [(panel has Cbln1/3)],Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Cbln3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Synaptic organizer,,,,,,
Cbln4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Cck,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ccn1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Ccn2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Ccn4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Cd226,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Cd24a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Immune / misc surface,,,,,,
Cd274,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Cd276,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Cd28,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Cd34,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Cd4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Cd40,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Cd47,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Cd6,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Cdh1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh10,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure.,Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh11,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure.,Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh12,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure.,Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh13,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cadherin/protocadherin,,,,,,
Cdh15,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh16,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh17,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh18,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Cdh19,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Cdh20,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Cdh22,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure.,Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh23,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh24,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh26,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdh4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Cdh6,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure.,Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh7,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Cdh8,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Type-II cadherins (projection correlates),"B,C,D,E",High,Cortical wiring cadherins; reported cortex-wide correlates of projection (complements your CSM cadherins); areal & within-type structure. [Areal/wiring],Moderate.,BARseq+MAPseq cadherin-projection (bioRxiv 2020.08.25.266460)
Cdh9,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cadherin/protocadherin,,,,,,
Cdhr1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdhr2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdhr3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdhr4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Cdon,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Celsr1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Celsr2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Celsr3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",High,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [Critical for cortical tract formation]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Chgb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Chl1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate-high — watch crowding,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Chodl,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Chrm2,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Ion channel / excitability,,,,,,
Cldn1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn10,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn12,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Claudin,,,,,,
Cldn19,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn20,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn22,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn23,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Cldn7,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Claudin,,,,,,
Clstn1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Clstn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Clstn3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Cnr1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cntn1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntn3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cntn4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,D,E",High,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [Areal/laminar wiring specificity]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntn5,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,D,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntn6,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,D,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntnap1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cntnap2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cntnap3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cntnap4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cox6a2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cplx1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cplx3,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cpne6,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Crh,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Crhbp,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Crmp1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression.,Moderate-high,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Crtac1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Crym,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ctgf,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cux1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [UL (paralog of Cux2)],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Cux2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Cxadr,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Cxcl12,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Cxcl14,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Dcc,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",High,Attractive/repulsive guidance; descending & long-range projection routing.,Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Dchs1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Dchs2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Dgkb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Dpp10,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"A,C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Dpp6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"A,C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [Kv4 auxiliary; type marker],"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Dpysl2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression. [(CRMP2) high],HIGH — crowding risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Dpysl3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression.,HIGH — crowding risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
